,LINE,TYPE,EMOTE SPAMMED,Rarity,Possible Source,CLIP - Sound bit,
1,GOOD FUCKING MORNING BAJS,Greetings,forsenE GFMB forsenGrill GFML,Common,Forsen Greetings,https://youtu.be/IgZrAoU0sPQ,
2,We good we chilling we gucci,Greetings,forsenOkay,Common,Forsen Greetings,https://youtu.be/IgZrAoU0sPQ?t=33,
3,Tamagucci?,Greetings,Pepepains; AYAYA; NaM,Common,Pocket Game Device,https://clips.twitch.tv/ArtisticLitigiousSnoodBigBrother-dHScdtjD4jTclkrr,
4,*stare silentyl*,Famous line,forsenLookingAtYou,Very rare,Forsen himself,https://clips.twitch.tv/WildGentleVampireDatSheffy-7DrFP4bcSvIcE5Jw,
5,... i choose you,Video Game,Pepepains,Rare,Pokemon,https://clips.twitch.tv/LongCarefulMoonBigBrother-tS0Cu2Z1FGU9iqMn,
6,????????? part 1,Random line,WutFace; WAYTOODANK,Uncommon,Forsen,https://clips.twitch.tv/TenaciousTriumphantTortoiseFeelsBadMan,
7,????????? part 2,Random line,WutFace; WAYTOODANK,Very rare,-,https://clips.twitch.tv/PlausibleSavagePastaOptimizePrime-cUF1zGj_Yw5GxWvl,
8,What is this? a comment for four dimensional beings,Famous line,Pepepains,Common,-,https://www.youtube.com/watch?v=ysELwneo8jI&t=521s; https://clips.twitch.tv/BlightedBlindingTitanPoooound-Dx_62PbiHOd8O_Hy,
9,I've 140IQ,Famous line,forsenIQ,Common,Forsen himself,https://clips.twitch.tv/RacyBlitheCakeAliens-6jP9nbv9km4lKt2E,
10,A boot time,Random line,-,Common,-,,
11,A bucket i don't give a fuck it,Random line,Pepepains,Very rare,-,,
12,A CUNT WITH HIS ARSE OUT!,Viral Video,Pepepains ,Common,Mark Tapper crash from ASS OUT,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/cunt%20with%20his%20arse%20out1.mp3,
13,As a  wise man once told me .. that wise man was me,Famous line,Pepepains,Uncommon,-,https://clips.twitch.tv/AbstemiousSmoothShieldBIRB-3rDSdC05458gIUuu,
14,After this game,Famous line,forsenY,Common,-,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/after%20this%20game.mp3,
15,ALLO,Movie line,ZULUL,Common,Who killed Captain Alex,https://clips.twitch.tv/TenaciousCautiousGaurBleedPurple-07vxW3gDXxAnw-92,
16,Alright Alright Alright,Song lyric,TriKool,Uncommon,Alright Alright Alright,,
17,Among us song,Video Game,amongE,Common,AMONG US GAME ,https://clips.twitch.tv/HealthyProudSwanLitFam-yzjla4CiH_SdgCfC,
18,And my axe,Movie line,Pepepains ,Rare,"LOTR: ""And my Axe""",,
19,YOUR MOM!!,Famous line,Pepepains; forsenHead; YOURMOM,Common,The comedian forsen,https://github.com/badoge/soundboard/tree/master/forsen/your%20mom,
20,Anyways i think im gonna peace out here,Famous line,PepeHands,Common,At the end of every stream,,
21,Back in black,Song lyric,cmonBruh,Common,AC/DC - Back In Black,https://www.youtube.com/watch?v=gn3m0-AuIrw,
22,Bacon is good for me!,TV Show line,KKona,Uncommon,Bacon is good for me,https://clips.twitch.tv/StrongEncouragingFriseeJonCarnage-tJ-e_42AGpuFBXVu,
23,Bada bing bada boom,Famous line,ANELE; Pepepains,Common,-,https://clips.twitch.tv/TacitAmorphousClamOSsloth,
24,Banana split,Random line,-,Very rare,-,https://clips.twitch.tv/GorgeousDaintyClipzPlanking-XhFaj5tYD69u0VwJ,
25,"Bitch, i made you my bitch!",TV Show line,forisn,Rare,Breaking bad: Jesse breakdown,https://clips.twitch.tv/ImportantLuckyKoupreyWoofer-ONolJRZJHQgBA7i_,
26,BITCOOONNEEECT!!!,Viral Video,Pepepains,Uncommon,Bitconnect Ceremony,https://clips.twitch.tv/AntsyColdbloodedSpiderEagleEye-w0yOF8GpCgPTE4Gk,
27,BLISSARD!!!,Famous line,forsenSWA; forsenFITTA,Common,Forsen himself,https://clips.twitch.tv/PerfectCogentTomatoKAPOW-gwWm8mH9-YpOQmWG,
28,borgir,Viral Video,Pepepains,Uncommon,Borgir tiktok,https://clips.twitch.tv/PowerfulMushyAubergineTTours-mKngDlHe9IR0eKFl,
29,Boyyyyyyyy,Viral Video,Pepepains ,Common,Longest yeah boy,https://clips.twitch.tv/PlayfulPolishedMangetoutTTours-Lil-dQUSG1EZ8ENu,
30,Brosef from another mosef!,Random line,Pepepains,Uncommon,-,https://clips.twitch.tv/CoweringLightPeachCurseLit-EVGw-OjC0nUuVZtn,
31,Brother from another mother!,Random line,-,Common,-,,
32,But at what cost?,Famous line,Pepepains ,Rare,Blissart meme,,
33,But first let me take a selfie,Song lyric,Pepepains 🤳 ,Uncommon,SELFIE​ - The Chainsmokers,https://clips.twitch.tv/VibrantLittleCoffeeHassaanChop-bdCHwZbBXenwRtcn ,
34,"But i’m not a rapper - sike, that’s the wrong number - i’m about to end this man’s whole career",Viral Video,-,Uncommon,The rap battles parody,https://clips.twitch.tv/DependableSmellyBulgogiPlanking-W3ysdlGRwAuVdF-r,
35,By fire be purged,Video Game,SMOrc; Pepepains,Uncommon,World of Warcraft,https://clips.twitch.tv/ReliableRelentlessInternHeyGirl-etfehoD0ojmuyjKw,
36,Call me maybe,Song lyric,Pepepains,Rare,Carly Rae Jepsen - Call Me Maybe,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/random%20singing/call%20me%20maybe1.mp3,
37,Capoeira (kappa),Random line,ZULUL; Kappa,Uncommon,-,https://clips.twitch.tv/CoweringModernStarlingStrawBeary-JnAtICxozIZ4kXsW,
38,CBT,Viral Video,GachiGASM,Very rare,CBT wiki (Couldn't find the original),https://clips.twitch.tv/CulturedGenerousCucumberWTRuck-VlBw7vpckumIhXI_,
39,Clown fiesta,Famous line,forsenClown,Uncommon,-,https://clips.twitch.tv/GlamorousBlindingNarwhalCmonBruh-FJR2B9YAMIaTFP_n,
40,Come with me if you wanna live,Movie line,Pepepains,Rare,Terminator 2 ,https://clips.twitch.tv/BetterEnergeticSharkLitty-9ZJTGnUY4B-shRD3,
41,Comeback israeli,Random line,ANELE; ABDULpls,Common,-,https://clips.twitch.tv/EnergeticAmorphousCrocodileKappaPride-2kft-L5IROFwVl-U,
42,Copesen,Famous line,Copesen,Uncommon,Cope meme,https://clips.twitch.tv/InquisitiveSucculentYakBudBlast-J8rdL60eTJ_CfdtC,
43,Cosmetic comment,Famous line,LULW ,Common,-,https://clips.twitch.tv/CreativeLongGalagoSaltBae-iZBwBQSsgDbVpewy,
44,Desperate times calls for desperate measures,Famous line,Pepepains,Uncommon,-,https://clips.twitch.tv/EnchantingSuspiciousSharkWow-cAmiorF-nwzkl4Zt,
45,Do you know what it is?,Song lyric,Pepepains,Very rare,-,https://clips.twitch.tv/AverageSlipperyReubenGingerPower-9BL9U8K8JhyfR2zq,
46,Do you wanna build a dung man?,Movie line,Pepepains,Very rare,Forzen - Do You Want to Build a Snowman?,https://clips.twitch.tv/BreakableSourHyenaWTRuck-h7fXBwxNlocKMDpp,
47,Donde esta el perro,Random line,pepeSenora ,Uncommon,-,,
48,Don't be a loser buy a diffuser!,Video Game,Pepepains,Rare,old meme,https://clips.twitch.tv/DirtyJollyHabaneroCopyThis-hdFZeiGu599kdd3t,
49,DOUBLE RAINBOW,Viral Video,Pepepains,Rare,Double rainbow song,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/double%20rainbow.mp3,
50,Enjoy your life!,Famous line,"PepeHands, forsenGa",Very rare,GTA V RP streams,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/enjoy%20your%20life.mp3,
51,Everybody in uganda knows kong fu,Movie line,ZULUL,Rare,Who killed Captain Alex,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/everybody%20in%20the%20nether%20knows%20kung%20fu.mp3,
52,Everyone needs to relax,Famous line,forsenW,Uncommon,Drunk forsen,https://clips.twitch.tv/GiantPrettiestApeGrammarKing-TxApzENGrpsSUo6C,
53,Expecto Patronum!,Movie line,Pepepains,Very rare,HARRY POTTER,https://clips.twitch.tv/PlausibleBetterLyrebirdSoBayed-M7C4eZT1hA4mzLVm,
54,EXTRAORDINARY!,Famous line,Pepepains,Common,-,https://clips.twitch.tv/OnerousDreamySashimiWholeWheat-lnbAP85exjM1cb73,
55,EZ4forsen,Song lyric,forsenPls,Uncommon,The verkkars - EZ4ENCE,https://clips.twitch.tv/FlaccidSparklingChimpanzeePraiseIt-bpj49cOYdXOvO80I,
56,FAN OF KNIVES!,Famous line,PagMan,Rare,Hearthstone era,https://clips.twitch.tv/BraveOilyRadicchioMau5-10SNUMXzK4mLC4G8,
57,"F--f-freestyler, rock the microphone",Song lyric,Pepepains,Rare,Bomfunk MC's - Free Styler ,https://clips.twitch.tv/CaringResourcefulKeyboardWTRuck,
58,FIRE IN THE HOLE,Video Game,-,Uncommon,Counter Strike,https://clips.twitch.tv/AverageRoughClipsdadBleedPurple-fbauwBQr8ChP-he1,
59,Fisting is 300 bucks,Viral Video,VaN,Uncommon,GACHIMUCHI,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/fisting.mp3,
60,FOR DALARAN,Video Game,Pepepains,Very rare,Hearthstone ,https://clips.twitch.tv/ArtsyColdbloodedDragonUncleNox-yv4alYuJwvb1zDGU,
61,For sho for sho,Movie line,-,Uncommon,Superbad,https://clips.twitch.tv/InquisitiveLovelyYogurtShazBotstix-CutyM3VZppmPVkn6,
62,Forsen forsen forsen im your number one fan,Famous line,forsenCD; HackerCD,Rare,DrDisrespect vs Forsen,https://clips.twitch.tv/UglyRealYamLitFam-ji7IbdE61UFgswLQ,
63,AAAHHH forsenWTF,Famous line,forsenWTF,Common,-,https://clips.twitch.tv/RenownedHonorableShrewCmonBruh-QJSaFpsRU_l7C8qG,
64,fr fr,Famous line,forsenJoy; Trikool,Common,Forsen himself,https://clips.twitch.tv/ShinyYawningToadArsonNoSexy-kzfjq48bkm4lCqLS,
65,FUCK ME WITH A STICK,Famous line,GachiGASM,Common,Forsen himself,https://clips.twitch.tv/NurturingOriginalOrangeOMGScoots-jd1VdiFeHHNsaJgt,
66,Fucking science yeah mr white,TV Show line,forisn,Very rare,Breaking Bad: jesse ,https://youtu.be/fMAzHz8RsZw,
67,Get out of me mum's car,Viral Video,TwaT; Pepepains,Uncommon,Vine ,https://clips.twitch.tv/IgnorantProudLasagnaCorgiDerp-aupT2G3LEeEQHjJI,
68,GET TO THE CHOPPER,Movie line,Pepepains,Rare,Predator,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/10lines/back%20to%20the%20choppa.mp3,
69,GIMME GIMME,Famous line,ZULUL; TriHard,Uncommon,Who killed Captain Alex,https://clips.twitch.tv/TemperedVictoriousNewtPanicBasket-SewO5lCtglsm0d8V,
70,"Give it here, malfoy",Movie line,Pepepains,Rare,Harry Potter Movies,https://youtu.be/-fTMNMngaOg?t=862,
71,"Give them nothing, but take from them... everything",Movie line,-,Very rare,300,,
72,HARRY POTTAH!,Movie line,Pepepains,Common,EVERYTIME SOMEONE SAYS HARRY POTTAH,https://clips.twitch.tv/CrunchyPiercingHorseTTours ; https://clips.twitch.tv/SteamyColdMangetoutTheRinger-2qFlsC6b0IuQgRh1,
73,He vented,Video Game,amongE,Rare,AMONG US GAME ,https://clips.twitch.tv/TriangularDependableFoxNomNom-JUhvs5DxtzxSRHaA,
74,Heehee,Famous line,Pepepains,Very rare,Michael Jackson,https://clips.twitch.tv/PuzzledArborealGarlicStrawBeary-ykHSlR270kj9_Hkk,
75,Hello is it me you're looking for,Song lyric,Pepepains,Rare,Lionel Richie - Hello ,https://github.com/badoge/soundboard/blob/8e4a43f1b92f2bfae44f01726d1c332d3625ceed/forsen/random%20singing/hello1.mp3,
76,Hello motherfucker,Viral Video,Pepepains,Rare,"Kid saying ""Hello Motherfucker""",https://clips.twitch.tv/BlightedGlamorousNoodleDxAbomb-SlYT3mLZfVzfhfMj,
77,"Hello, step into my castle",Random line,Pepepains,Very rare,-,,
78,Help i need somebody,Song lyric,Pepepains,Rare,The Beatles - Help!,https://clips.twitch.tv/CredulousJollyGrousePupper-_s_GzE66MtkKePy7,
79,Here We Go!,Video Game,SupaMaldio ,Uncommon,Mario,https://clips.twitch.tv/TriumphantHeadstrongPelicanHassanChop-4b9iIsso1kPnX5Ho,
80,Here's the deal with homeless people,Famous line,4House ,Common,Forsen Plays Comedy Night ,https://clips.twitch.tv/SuccessfulAmericanPicklesOSkomodo-Vg-c0ydygvtbE7JU,
81,HEY HEY HEY,Viral Video,Pepepains,Uncommon,Bitconnect Ceremony,,
